"","Reporter.Country.Code","Partner.Country.Code"
"1",3,10
"2",3,11
"3",3,21
"4",3,98
"5",3,50
"6",3,54
"7",3,68
"8",3,79
"9",3,84
"10",3,97
"11",3,106
"12",3,110
"13",3,173
"14",3,146
"15",3,183
"16",3,198
"17",3,203
"18",3,211
"19",3,223
"20",3,231
"21",4,15
"22",4,33
"23",4,54
"24",4,68
"25",4,79
"26",4,90
"27",4,106
"28",4,112
"29",4,118
"30",4,133
"31",4,143
"32",4,150
"33",4,158
"34",4,203
"35",4,210
"36",4,211
"37",4,222
"38",4,223
"39",4,229
"40",4,231
"41",9,3
"42",9,4
"43",9,10
"44",9,11
"45",9,14
"46",9,15
"47",9,53
"48",9,19
"49",9,20
"50",9,21
"51",9,33
"52",9,40
"53",9,96
"54",9,41
"55",9,214
"56",9,44
"57",9,48
"58",9,98
"59",9,50
"60",9,167
"61",9,54
"62",9,58
"63",9,59
"64",9,60
"65",9,67
"66",9,68
"67",9,79
"68",9,84
"69",9,89
"70",9,90
"71",9,95
"72",9,97
"73",9,100
"74",9,101
"75",9,104
"76",9,106
"77",9,110
"78",9,112
"79",9,114
"80",9,118
"81",9,126
"82",9,129
"83",9,131
"84",9,137
"85",9,143
"86",9,150
"87",9,156
"88",9,157
"89",9,162
"90",9,221
"91",9,165
"92",9,166
"93",9,169
"94",9,170
"95",9,171
"96",9,173
"97",9,174
"98",9,117
"99",9,183
"100",9,184
"101",9,200
"102",9,198
"103",9,202
"104",9,203
"105",9,38
"106",9,210
"107",9,211
"108",9,216
"109",9,217
"110",9,220
"111",9,222
"112",9,223
"113",9,229
"114",9,231
"115",9,234
"116",9,236
"117",9,181
"118",10,4
"119",10,9
"120",10,10
"121",10,11
"122",10,14
"123",10,15
"124",10,23
"125",10,20
"126",10,21
"127",10,233
"128",10,33
"129",10,40
"130",10,96
"131",10,128
"132",10,41
"133",10,214
"134",10,44
"135",10,45
"136",10,48
"137",10,98
"138",10,50
"139",10,167
"140",10,54
"141",10,58
"142",10,59
"143",10,67
"144",10,68
"145",10,79
"146",10,84
"147",10,89
"148",10,97
"149",10,99
"150",10,100
"151",10,101
"152",10,104
"153",10,106
"154",10,110
"155",10,112
"156",10,114
"157",10,118
"158",10,126
"159",10,129
"160",10,131
"161",10,133
"162",10,137
"163",10,143
"164",10,150
"165",10,156
"166",10,157
"167",10,158
"168",10,162
"169",10,221
"170",10,165
"171",10,166
"172",10,168
"173",10,169
"174",10,170
"175",10,171
"176",10,173
"177",10,174
"178",10,117
"179",10,183
"180",10,196
"181",10,200
"182",10,198
"183",10,202
"184",10,203
"185",10,38
"186",10,210
"187",10,211
"188",10,216
"189",10,217
"190",10,220
"191",10,222
"192",10,223
"193",10,226
"194",10,229
"195",10,231
"196",10,234
"197",10,236
"198",10,181
"199",11,3
"200",11,9
"201",11,10
"202",11,15
"203",11,53
"204",11,21
"205",11,233
"206",11,32
"207",11,33
"208",11,40
"209",11,96
"210",11,41
"211",11,214
"212",11,44
"213",11,48
"214",11,98
"215",11,50
"216",11,167
"217",11,54
"218",11,58
"219",11,59
"220",11,67
"221",11,68
"222",11,79
"223",11,84
"224",11,89
"225",11,90
"226",11,97
"227",11,99
"228",11,100
"229",11,101
"230",11,104
"231",11,106
"232",11,110
"233",11,112
"234",11,114
"235",11,118
"236",11,126
"237",11,131
"238",11,133
"239",11,137
"240",11,143
"241",11,150
"242",11,156
"243",11,162
"244",11,221
"245",11,165
"246",11,166
"247",11,169
"248",11,170
"249",11,171
"250",11,173
"251",11,174
"252",11,117
"253",11,146
"254",11,183
"255",11,184
"256",11,186
"257",11,200
"258",11,198
"259",11,202
"260",11,203
"261",11,38
"262",11,210
"263",11,211
"264",11,216
"265",11,222
"266",11,223
"267",11,229
"268",11,231
"269",11,234
"270",11,236
"271",11,181
"272",14,10
"273",14,15
"274",14,23
"275",14,21
"276",14,33
"277",14,40
"278",14,96
"279",14,44
"280",14,48
"281",14,50
"282",14,67
"283",14,68
"284",14,79
"285",14,89
"286",14,95
"287",14,101
"288",14,104
"289",14,106
"290",14,110
"291",14,131
"292",14,150
"293",14,156
"294",14,166
"295",14,169
"296",14,200
"297",14,202
"298",14,203
"299",14,210
"300",14,211
"301",14,220
"302",14,229
"303",14,231
"304",14,236
"305",15,3
"306",15,4
"307",15,9
"308",15,10
"309",15,11
"310",15,14
"311",15,23
"312",15,53
"313",15,19
"314",15,21
"315",15,233
"316",15,32
"317",15,33
"318",15,37
"319",15,40
"320",15,96
"321",15,128
"322",15,41
"323",15,214
"324",15,44
"325",15,45
"326",15,48
"327",15,98
"328",15,50
"329",15,167
"330",15,54
"331",15,58
"332",15,59
"333",15,60
"334",15,64
"335",15,67
"336",15,68
"337",15,79
"338",15,84
"339",15,89
"340",15,90
"341",15,95
"342",15,97
"343",15,99
"344",15,100
"345",15,101
"346",15,104
"347",15,106
"348",15,110
"349",15,112
"350",15,114
"351",15,118
"352",15,126
"353",15,129
"354",15,131
"355",15,133
"356",15,137
"357",15,143
"358",15,150
"359",15,156
"360",15,157
"361",15,158
"362",15,162
"363",15,221
"364",15,165
"365",15,166
"366",15,169
"367",15,170
"368",15,171
"369",15,173
"370",15,174
"371",15,117
"372",15,146
"373",15,183
"374",15,184
"375",15,186
"376",15,196
"377",15,200
"378",15,198
"379",15,202
"380",15,203
"381",15,38
"382",15,210
"383",15,211
"384",15,216
"385",15,217
"386",15,220
"387",15,222
"388",15,223
"389",15,226
"390",15,229
"391",15,231
"392",15,234
"393",15,236
"394",15,181
"395",23,14
"396",23,33
"397",23,68
"398",23,79
"399",23,89
"400",23,95
"401",23,104
"402",23,106
"403",23,110
"404",23,150
"405",23,174
"406",23,203
"407",23,220
"408",23,229
"409",23,231
"410",53,21
"411",53,96
"412",53,41
"413",53,44
"414",53,54
"415",53,68
"416",53,99
"417",53,100
"418",53,101
"419",53,104
"420",53,106
"421",53,110
"422",53,150
"423",53,158
"424",53,200
"425",53,202
"426",53,203
"427",53,217
"428",53,222
"429",53,229
"430",19,9
"431",19,10
"432",19,11
"433",19,15
"434",19,21
"435",19,33
"436",19,40
"437",19,214
"438",19,44
"439",19,48
"440",19,98
"441",19,167
"442",19,58
"443",19,68
"444",19,79
"445",19,106
"446",19,110
"447",19,112
"448",19,150
"449",19,169
"450",19,170
"451",19,173
"452",19,174
"453",19,117
"454",19,183
"455",19,203
"456",19,210
"457",19,211
"458",19,229
"459",19,231
"460",19,234
"461",19,236
"462",20,11
"463",20,33
"464",20,96
"465",20,54
"466",20,67
"467",20,68
"468",20,79
"469",20,84
"470",20,106
"471",20,110
"472",20,131
"473",20,150
"474",20,162
"475",20,117
"476",20,200
"477",20,202
"478",20,203
"479",20,229
"480",20,231
"481",20,181
"482",21,3
"483",21,4
"484",21,9
"485",21,10
"486",21,11
"487",21,14
"488",21,15
"489",21,23
"490",21,53
"491",21,19
"492",21,233
"493",21,32
"494",21,33
"495",21,40
"496",21,96
"497",21,128
"498",21,41
"499",21,214
"500",21,44
"501",21,48
"502",21,50
"503",21,167
"504",21,54
"505",21,58
"506",21,59
"507",21,60
"508",21,67
"509",21,68
"510",21,79
"511",21,84
"512",21,89
"513",21,90
"514",21,95
"515",21,97
"516",21,99
"517",21,100
"518",21,101
"519",21,104
"520",21,106
"521",21,110
"522",21,112
"523",21,114
"524",21,118
"525",21,126
"526",21,129
"527",21,131
"528",21,133
"529",21,137
"530",21,143
"531",21,150
"532",21,156
"533",21,157
"534",21,158
"535",21,162
"536",21,221
"537",21,165
"538",21,166
"539",21,169
"540",21,170
"541",21,171
"542",21,173
"543",21,174
"544",21,117
"545",21,146
"546",21,183
"547",21,186
"548",21,196
"549",21,200
"550",21,198
"551",21,202
"552",21,203
"553",21,38
"554",21,210
"555",21,211
"556",21,216
"557",21,217
"558",21,220
"559",21,222
"560",21,223
"561",21,229
"562",21,231
"563",21,234
"564",21,236
"565",21,181
"566",233,10
"567",233,15
"568",233,53
"569",233,233
"570",233,41
"571",233,59
"572",233,68
"573",233,79
"574",233,84
"575",233,90
"576",233,100
"577",233,106
"578",233,133
"579",233,150
"580",233,158
"581",233,173
"582",233,200
"583",233,202
"584",233,203
"585",233,211
"586",233,217
"587",233,229
"588",233,231
"589",32,4
"590",32,15
"591",32,53
"592",32,21
"593",32,233
"594",32,33
"595",32,37
"596",32,40
"597",32,96
"598",32,41
"599",32,214
"600",32,54
"601",32,59
"602",32,68
"603",32,79
"604",32,84
"605",32,90
"606",32,100
"607",32,101
"608",32,104
"609",32,106
"610",32,110
"611",32,131
"612",32,133
"613",32,143
"614",32,150
"615",32,171
"616",32,173
"617",32,174
"618",32,200
"619",32,202
"620",32,203
"621",32,210
"622",32,211
"623",32,216
"624",32,217
"625",32,222
"626",32,223
"627",32,229
"628",32,231
"629",33,3
"630",33,4
"631",33,9
"632",33,10
"633",33,11
"634",33,14
"635",33,15
"636",33,23
"637",33,53
"638",33,19
"639",33,21
"640",33,32
"641",33,37
"642",33,40
"643",33,96
"644",33,128
"645",33,41
"646",33,214
"647",33,44
"648",33,48
"649",33,98
"650",33,50
"651",33,167
"652",33,54
"653",33,58
"654",33,59
"655",33,60
"656",33,67
"657",33,68
"658",33,79
"659",33,84
"660",33,89
"661",33,90
"662",33,95
"663",33,97
"664",33,99
"665",33,100
"666",33,101
"667",33,104
"668",33,106
"669",33,110
"670",33,112
"671",33,114
"672",33,118
"673",33,126
"674",33,129
"675",33,131
"676",33,133
"677",33,137
"678",33,143
"679",33,150
"680",33,156
"681",33,157
"682",33,162
"683",33,221
"684",33,165
"685",33,166
"686",33,168
"687",33,169
"688",33,170
"689",33,171
"690",33,173
"691",33,174
"692",33,117
"693",33,146
"694",33,183
"695",33,184
"696",33,186
"697",33,200
"698",33,202
"699",33,203
"700",33,38
"701",33,210
"702",33,211
"703",33,216
"704",33,220
"705",33,222
"706",33,223
"707",33,226
"708",33,229
"709",33,231
"710",33,234
"711",33,236
"712",33,181
"713",37,15
"714",37,32
"715",37,68
"716",37,79
"717",37,106
"718",37,150
"719",37,211
"720",37,229
"721",40,3
"722",40,9
"723",40,10
"724",40,11
"725",40,14
"726",40,15
"727",40,23
"728",40,19
"729",40,20
"730",40,21
"731",40,32
"732",40,33
"733",40,96
"734",40,41
"735",40,214
"736",40,44
"737",40,48
"738",40,50
"739",40,54
"740",40,58
"741",40,59
"742",40,60
"743",40,67
"744",40,68
"745",40,79
"746",40,84
"747",40,89
"748",40,90
"749",40,95
"750",40,97
"751",40,99
"752",40,100
"753",40,101
"754",40,104
"755",40,106
"756",40,110
"757",40,112
"758",40,114
"759",40,118
"760",40,126
"761",40,129
"762",40,131
"763",40,137
"764",40,143
"765",40,150
"766",40,156
"767",40,157
"768",40,162
"769",40,166
"770",40,168
"771",40,169
"772",40,170
"773",40,171
"774",40,173
"775",40,174
"776",40,117
"777",40,186
"778",40,196
"779",40,200
"780",40,198
"781",40,202
"782",40,203
"783",40,38
"784",40,210
"785",40,211
"786",40,216
"787",40,217
"788",40,220
"789",40,223
"790",40,229
"791",40,231
"792",40,234
"793",40,236
"794",40,181
"795",96,4
"796",96,9
"797",96,10
"798",96,11
"799",96,14
"800",96,15
"801",96,23
"802",96,53
"803",96,21
"804",96,233
"805",96,32
"806",96,33
"807",96,40
"808",96,128
"809",96,41
"810",96,214
"811",96,44
"812",96,48
"813",96,50
"814",96,54
"815",96,58
"816",96,59
"817",96,60
"818",96,67
"819",96,68
"820",96,79
"821",96,84
"822",96,89
"823",96,90
"824",96,95
"825",96,97
"826",96,99
"827",96,100
"828",96,101
"829",96,104
"830",96,106
"831",96,110
"832",96,112
"833",96,114
"834",96,118
"835",96,126
"836",96,129
"837",96,131
"838",96,133
"839",96,137
"840",96,143
"841",96,150
"842",96,156
"843",96,157
"844",96,158
"845",96,162
"846",96,221
"847",96,165
"848",96,166
"849",96,168
"850",96,169
"851",96,170
"852",96,171
"853",96,174
"854",96,117
"855",96,183
"856",96,196
"857",96,200
"858",96,202
"859",96,203
"860",96,38
"861",96,210
"862",96,211
"863",96,216
"864",96,217
"865",96,220
"866",96,222
"867",96,223
"868",96,229
"869",96,231
"870",96,234
"871",96,236
"872",96,181
"873",128,10
"874",128,21
"875",128,33
"876",128,96
"877",128,41
"878",128,214
"879",128,101
"880",128,110
"881",128,131
"882",128,171
"883",128,174
"884",128,117
"885",128,200
"886",128,216
"887",128,229
"888",128,231
"889",41,3
"890",41,4
"891",41,9
"892",41,10
"893",41,11
"894",41,14
"895",41,15
"896",41,23
"897",41,53
"898",41,19
"899",41,21
"900",41,32
"901",41,33
"902",41,40
"903",41,96
"904",41,128
"905",41,214
"906",41,44
"907",41,48
"908",41,98
"909",41,50
"910",41,167
"911",41,54
"912",41,58
"913",41,59
"914",41,60
"915",41,67
"916",41,68
"917",41,84
"918",41,89
"919",41,90
"920",41,95
"921",41,97
"922",41,99
"923",41,100
"924",41,101
"925",41,104
"926",41,106
"927",41,110
"928",41,112
"929",41,114
"930",41,118
"931",41,126
"932",41,129
"933",41,131
"934",41,133
"935",41,137
"936",41,143
"937",41,150
"938",41,156
"939",41,162
"940",41,221
"941",41,165
"942",41,166
"943",41,168
"944",41,169
"945",41,170
