"","Reporter.Country.Code","Partner.Country.Code"
"454",110,91
"455",110,170
"456",110,231
"457",110,234
"458",110,236
"459",112,33
"460",112,231
"461",108,9
"462",108,21
"463",108,231
"464",114,9
"465",114,21
"466",114,33
"467",114,40
"468",114,44
"469",114,58
"470",114,231
"471",114,236
"472",113,170
"473",113,231
"474",113,236
"475",119,9
"476",119,19
"477",119,21
"478",119,33
"479",119,40
"480",119,58
"481",119,169
"482",119,170
"483",119,231
"484",119,234
"485",119,236
"486",121,9
"487",121,21
"488",121,33
"489",121,40
"490",121,44
"491",121,169
"492",121,231
"493",121,234
"494",121,236
"495",126,33
"496",126,44
"497",126,231
"498",126,236
"499",256,21
"500",256,33
"501",256,231
"502",129,9
"503",129,21
"504",129,33
"505",129,40
"506",129,44
"507",129,170
"508",129,231
"509",131,9
"510",131,19
"511",131,21
"512",131,33
"513",131,40
"514",131,44
"515",131,58
"516",131,91
"517",131,169
"518",131,170
"519",131,231
"520",131,234
"521",131,236
"522",133,21
"523",133,170
"524",133,231
"525",134,33
"526",134,231
"527",137,33
"528",137,231
"529",138,9
"530",138,19
"531",138,21
"532",138,33
"533",138,40
"534",138,44
"535",138,58
"536",138,91
"537",138,169
"538",138,170
"539",138,231
"540",138,234
"541",138,236
"542",141,33
"543",141,231
"544",273,33
"545",273,231
"546",143,9
"547",143,19
"548",143,21
"549",143,33
"550",143,40
"551",143,44
"552",143,170
"553",143,231
"554",143,236
"555",150,9
"556",150,19
"557",150,21
"558",150,33
"559",150,40
"560",150,44
"561",150,58
"562",150,91
"563",150,169
"564",150,170
"565",150,231
"566",150,234
"567",150,236
"568",153,33
"569",156,9
"570",156,19
"571",156,21
"572",156,33
"573",156,40
"574",156,44
"575",156,58
"576",156,91
"577",156,169
"578",156,170
"579",156,231
"580",156,234
"581",156,236
"582",157,9
"583",157,19
"584",157,33
"585",157,40
"586",157,44
"587",157,58
"588",157,170
"589",157,231
"590",157,236
"591",158,9
"592",158,21
"593",158,44
"594",158,231
"595",162,9
"596",162,19
"597",162,21
"598",162,33
"599",162,40
"600",162,44
"601",162,58
"602",162,170
"603",162,231
"604",162,234
"605",162,236
"606",221,9
"607",221,21
"608",221,33
"609",221,44
"610",221,231
"611",165,9
"612",165,19
"613",165,21
"614",165,33
"615",165,40
"616",165,44
"617",165,58
"618",165,91
"619",165,169
"620",165,231
"621",165,234
"622",166,19
"623",166,21
"624",166,33
"625",166,40
"626",166,44
"627",166,58
"628",166,169
"629",166,170
"630",166,231
