"","Reporter.Countries","Partner.Countries"
"1526","Cuba","USSR"
"1527","Cuba","Viet Nam"
"1528","Cyprus","Afghanistan"
"1529","Cyprus","Australia"
"1530","Cyprus","Austria"
"1531","Cyprus","Bahrain"
"1532","Cyprus","Belgium-Luxembourg"
"1533","Cyprus","Bulgaria"
"1534","Cyprus","Canada"
"1535","Cyprus","China, Hong Kong SAR"
"1536","Cyprus","Côte d'Ivoire"
"1537","Cyprus","Czechoslovakia"
"1538","Cyprus","Democratic Republic of the Congo"
"1539","Cyprus","Denmark"
"1540","Cyprus","Djibouti"
"1541","Cyprus","Egypt"
"1542","Cyprus","Finland"
"1543","Cyprus","France"
"1544","Cyprus","Greece"
"1545","Cyprus","Hungary"
"1546","Cyprus","India"
"1547","Cyprus","Indonesia"
"1548","Cyprus","Iraq"
"1549","Cyprus","Ireland"
"1550","Cyprus","Israel"
"1551","Cyprus","Italy"
"1552","Cyprus","Japan"
"1553","Cyprus","Jordan"
"1554","Cyprus","Kenya"
"1555","Cyprus","Kuwait"
"1556","Cyprus","Lebanon"
"1557","Cyprus","Liberia"
"1558","Cyprus","Libya"
"1559","Cyprus","Malaysia"
"1560","Cyprus","Mali"
"1561","Cyprus","Malta"
"1562","Cyprus","Netherlands"
"1563","Cyprus","New Zealand"
"1564","Cyprus","Nigeria"
"1565","Cyprus","Norway"
"1566","Cyprus","Oman"
"1567","Cyprus","Philippines"
"1568","Cyprus","Poland"
"1569","Cyprus","Portugal"
"1570","Cyprus","Qatar"
"1571","Cyprus","Romania"
"1572","Cyprus","Sao Tome and Principe"
"1573","Cyprus","Saudi Arabia"
"1574","Cyprus","Sierra Leone"
"1575","Cyprus","Singapore"
"1576","Cyprus","Spain"
"1577","Cyprus","Sri Lanka"
"1578","Cyprus","Sudan (former)"
"1579","Cyprus","Sweden"
"1580","Cyprus","Switzerland"
"1581","Cyprus","Syrian Arab Republic"
"1582","Cyprus","Thailand"
"1583","Cyprus","United Arab Emirates"
"1584","Cyprus","United Kingdom"
"1585","Cyprus","United States of America"
"1586","Cyprus","Unspecified Area"
"1587","Cyprus","Uruguay"
"1588","Cyprus","USSR"
"1589","Cyprus","Yugoslav SFR"
"1590","Cyprus","Zambia"
"1591","Denmark","Afghanistan"
"1592","Denmark","Albania"
"1593","Denmark","Algeria"
"1594","Denmark","Andorra"
"1595","Denmark","Angola"
"1596","Denmark","Antigua and Barbuda"
"1597","Denmark","Argentina"
"1598","Denmark","Australia"
"1599","Denmark","Austria"
"1600","Denmark","Bahamas"
"1601","Denmark","Bahrain"
"1602","Denmark","Bangladesh"
"1603","Denmark","Barbados"
"1604","Denmark","Belgium-Luxembourg"
"1605","Denmark","Belize"
"1606","Denmark","Benin"
"1607","Denmark","Bermuda"
"1608","Denmark","Bolivia (Plurinational State of)"
"1609","Denmark","Botswana"
"1610","Denmark","Brazil"
"1611","Denmark","British Indian Ocean Territory"
"1612","Denmark","Brunei Darussalam"
"1613","Denmark","Bulgaria"
"1614","Denmark","Burkina Faso"
"1615","Denmark","Burundi"
"1616","Denmark","Cabo Verde"
"1617","Denmark","Cameroon"
"1618","Denmark","Canada"
"1619","Denmark","Central African Republic"
"1620","Denmark","Chile"
"1621","Denmark","China, Hong Kong SAR"
"1622","Denmark","China, mainland"
"1623","Denmark","China, Taiwan Province of"
"1624","Denmark","Colombia"
"1625","Denmark","Comoros"
"1626","Denmark","Congo"
"1627","Denmark","Costa Rica"
"1628","Denmark","Côte d'Ivoire"
"1629","Denmark","Cuba"
"1630","Denmark","Cyprus"
"1631","Denmark","Czechoslovakia"
"1632","Denmark","Democratic People's Republic of Korea"
"1633","Denmark","Democratic Republic of the Congo"
"1634","Denmark","Djibouti"
"1635","Denmark","Dominica"
"1636","Denmark","Dominican Republic"
"1637","Denmark","Ecuador"
"1638","Denmark","Egypt"
"1639","Denmark","El Salvador"
"1640","Denmark","Equatorial Guinea"
"1641","Denmark","Eswatini"
"1642","Denmark","Ethiopia PDR"
"1643","Denmark","Falkland Islands (Malvinas)"
"1644","Denmark","Faroe Islands"
"1645","Denmark","Finland"
"1646","Denmark","France"
"1647","Denmark","French Guiana"
"1648","Denmark","French Polynesia"
"1649","Denmark","Gabon"
"1650","Denmark","Gambia"
"1651","Denmark","Ghana"
"1652","Denmark","Gibraltar"
"1653","Denmark","Greece"
"1654","Denmark","Greenland"
"1655","Denmark","Grenada"
"1656","Denmark","Guadeloupe"
"1657","Denmark","Guatemala"
"1658","Denmark","Guinea"
"1659","Denmark","Guinea-Bissau"
"1660","Denmark","Guyana"
"1661","Denmark","Haiti"
"1662","Denmark","Holy See"
"1663","Denmark","Honduras"
"1664","Denmark","Hungary"
"1665","Denmark","Iceland"
"1666","Denmark","India"
"1667","Denmark","Indonesia"
"1668","Denmark","Iran (Islamic Republic of)"
"1669","Denmark","Iraq"
"1670","Denmark","Ireland"
"1671","Denmark","Israel"
"1672","Denmark","Italy"
"1673","Denmark","Jamaica"
"1674","Denmark","Japan"
"1675","Denmark","Jordan"
"1676","Denmark","Kenya"
"1677","Denmark","Kuwait"
"1678","Denmark","Lebanon"
"1679","Denmark","Liberia"
"1680","Denmark","Libya"
"1681","Denmark","Madagascar"
"1682","Denmark","Malawi"
"1683","Denmark","Malaysia"
"1684","Denmark","Maldives"
"1685","Denmark","Mali"
"1686","Denmark","Malta"
"1687","Denmark","Martinique"
"1688","Denmark","Mauritania"
"1689","Denmark","Mauritius"
"1690","Denmark","Mexico"
"1691","Denmark","Mongolia"
"1692","Denmark","Morocco"
"1693","Denmark","Mozambique"
"1694","Denmark","Myanmar"
"1695","Denmark","Nepal"
"1696","Denmark","Netherlands"
"1697","Denmark","Netherlands Antilles (former)"
"1698","Denmark","New Caledonia"
"1699","Denmark","New Zealand"
"1700","Denmark","Nicaragua"
"1701","Denmark","Niger"
"1702","Denmark","Nigeria"
"1703","Denmark","Norway"
"1704","Denmark","Oman"
"1705","Denmark","Pakistan"
"1706","Denmark","Panama"
"1707","Denmark","Papua New Guinea"
"1708","Denmark","Paraguay"
"1709","Denmark","Peru"
"1710","Denmark","Philippines"
"1711","Denmark","Poland"
"1712","Denmark","Portugal"
"1713","Denmark","Qatar"
"1714","Denmark","Republic of Korea"
"1715","Denmark","Réunion"
"1716","Denmark","Romania"
"1717","Denmark","Rwanda"
"1718","Denmark","Saint Lucia"
"1719","Denmark","Saint Pierre and Miquelon"
"1720","Denmark","Saint Vincent and the Grenadines"
"1721","Denmark","Sao Tome and Principe"
"1722","Denmark","Saudi Arabia"
"1723","Denmark","Senegal"
"1724","Denmark","Seychelles"
"1725","Denmark","Sierra Leone"
"1726","Denmark","Singapore"
"1727","Denmark","Solomon Islands"
"1728","Denmark","Somalia"
"1729","Denmark","South Africa"
"1730","Denmark","Spain"
"1731","Denmark","Sri Lanka"
"1732","Denmark","Sudan (former)"
"1733","Denmark","Suriname"
"1734","Denmark","Sweden"
"1735","Denmark","Switzerland"
"1736","Denmark","Syrian Arab Republic"
"1737","Denmark","Thailand"
"1738","Denmark","Togo"
"1739","Denmark","Tonga"
"1740","Denmark","Trinidad and Tobago"
"1741","Denmark","Tunisia"
"1742","Denmark","Turkey"
"1743","Denmark","Turks and Caicos Islands"
"1744","Denmark","Uganda"
"1745","Denmark","United Arab Emirates"
"1746","Denmark","United Kingdom"
"1747","Denmark","United Republic of Tanzania"
"1748","Denmark","United States of America"
"1749","Denmark","United States Virgin Islands"
"1750","Denmark","Unspecified Area"
"1751","Denmark","Uruguay"
"1752","Denmark","USSR"
"1753","Denmark","Vanuatu"
"1754","Denmark","Venezuela (Bolivarian Republic of)"
"1755","Denmark","Viet Nam"
"1756","Denmark","Yugoslav SFR"
"1757","Denmark","Zambia"
"1758","Denmark","Zimbabwe"
"1759","Egypt","Algeria"
"1760","Egypt","Argentina"
"1761","Egypt","Australia"
"1762","Egypt","Austria"
"1763","Egypt","Bahrain"
"1764","Egypt","Belgium-Luxembourg"
"1765","Egypt","Brazil"
"1766","Egypt","Bulgaria"
"1767","Egypt","Canada"
"1768","Egypt","China, Hong Kong SAR"
"1769","Egypt","Congo"
"1770","Egypt","Cyprus"
"1771","Egypt","Czechoslovakia"
"1772","Egypt","Democratic People's Republic of Korea"
"1773","Egypt","Denmark"
"1774","Egypt","Finland"
"1775","Egypt","France"
"1776","Egypt","Greece"
"1777","Egypt","Hungary"
"1778","Egypt","Indonesia"
"1779","Egypt","Iraq"
"1780","Egypt","Ireland"
"1781","Egypt","Israel"
"1782","Egypt","Italy"
"1783","Egypt","Japan"
"1784","Egypt","Jordan"
"1785","Egypt","Kuwait"
"1786","Egypt","Lebanon"
"1787","Egypt","Morocco"
"1788","Egypt","Netherlands"
"1789","Egypt","Oman"
"1790","Egypt","Pakistan"
"1791","Egypt","Philippines"
"1792","Egypt","Poland"
"1793","Egypt","Portugal"
"1794","Egypt","Qatar"
"1795","Egypt","Republic of Korea"
"1796","Egypt","Romania"
"1797","Egypt","Saudi Arabia"
"1798","Egypt","Singapore"
"1799","Egypt","Spain"
"1800","Egypt","Sri Lanka"
"1801","Egypt","Sudan (former)"
"1802","Egypt","Sweden"
"1803","Egypt","Switzerland"
"1804","Egypt","Thailand"
"1805","Egypt","Tunisia"
"1806","Egypt","Turkey"
"1807","Egypt","United Kingdom"
"1808","Egypt","United States of America"
"1809","Egypt","Unspecified Area"
"1810","Egypt","USSR"
"1811","Egypt","Yugoslav SFR"
"1812","Faroe Islands","Denmark"
"1813","Faroe Islands","Finland"
"1814","Faroe Islands","Norway"
"1815","Faroe Islands","United Kingdom"
"1816","Fiji","American Samoa"
"1817","Fiji","Australia"
"1818","Fiji","Canada"
"1819","Fiji","China, Hong Kong SAR"
"1820","Fiji","China, mainland"
"1821","Fiji","China, Taiwan Province of"
"1822","Fiji","Cook Islands"
"1823","Fiji","Democratic People's Republic of Korea"
"1824","Fiji","Egypt"
"1825","Fiji","French Polynesia"
"1826","Fiji","Germany"
"1827","Fiji","Japan"
"1828","Fiji","Kiribati"
"1829","Fiji","Malaysia"
"1830","Fiji","Nauru"
"1831","Fiji","Netherlands"
"1832","Fiji","New Caledonia"
"1833","Fiji","New Zealand"
"1834","Fiji","Niue"
"1835","Fiji","Pacific Islands Trust Territory"
"1836","Fiji","Papua New Guinea"
"1837","Fiji","Republic of Korea"
"1838","Fiji","Samoa"
"1839","Fiji","Saudi Arabia"
"1840","Fiji","Singapore"
"1841","Fiji","Solomon Islands"
"1842","Fiji","Tonga"
"1843","Fiji","Tuvalu"
"1844","Fiji","United Kingdom"
"1845","Fiji","United States of America"
"1846","Fiji","Unspecified Area"
"1847","Fiji","Vanuatu"
"1848","Fiji","Wallis and Futuna Islands"
"1849","Finland","Algeria"
"1850","Finland","Angola"
"1851","Finland","Argentina"
"1852","Finland","Australia"
"1853","Finland","Austria"
"1854","Finland","Bahamas"
"1855","Finland","Bahrain"
"1856","Finland","Belgium-Luxembourg"
"1857","Finland","Brazil"
"1858","Finland","Bulgaria"
"1859","Finland","Cameroon"
"1860","Finland","Canada"
"1861","Finland","Chile"
"1862","Finland","China, Hong Kong SAR"
"1863","Finland","China, Taiwan Province of"
"1864","Finland","Colombia"
"1865","Finland","Costa Rica"
"1866","Finland","Côte d'Ivoire"
"1867","Finland","Cyprus"
"1868","Finland","Czechoslovakia"
"1869","Finland","Democratic People's Republic of Korea"
"1870","Finland","Denmark"
"1871","Finland","Dominica"
"1872","Finland","Dominican Republic"
"1873","Finland","Ecuador"
"1874","Finland","Egypt"
"1875","Finland","El Salvador"
"1876","Finland","Ethiopia PDR"
"1877","Finland","Faroe Islands"
"1878","Finland","France"
"1879","Finland","Gambia"
"1880","Finland","Gibraltar"
"1881","Finland","Greece"
"1882","Finland","Guatemala"
"1883","Finland","Guinea"
"1884","Finland","Guinea-Bissau"
"1885","Finland","Haiti"
"1886","Finland","Honduras"
"1887","Finland","Hungary"
"1888","Finland","Iceland"
"1889","Finland","Indonesia"
"1890","Finland","Iran (Islamic Republic of)"
"1891","Finland","Iraq"
"1892","Finland","Ireland"
"1893","Finland","Israel"
"1894","Finland","Italy"
"1895","Finland","Japan"
"1896","Finland","Jordan"
"1897","Finland","Kenya"
"1898","Finland","Kuwait"
"1899","Finland","Lebanon"
"1900","Finland","Liberia"
"1901","Finland","Libya"
"1902","Finland","Madagascar"
"1903","Finland","Malaysia"
"1904","Finland","Mali"
"1905","Finland","Malta"
"1906","Finland","Morocco"
"1907","Finland","Mozambique"
"1908","Finland","Netherlands"
"1909","Finland","Netherlands Antilles (former)"
"1910","Finland","New Zealand"
"1911","Finland","Nicaragua"
"1912","Finland","Niger"
"1913","Finland","Nigeria"
"1914","Finland","Norway"
"1915","Finland","Oman"
"1916","Finland","Pakistan"
"1917","Finland","Panama"
"1918","Finland","Papua New Guinea"
"1919","Finland","Paraguay"
"1920","Finland","Peru"
"1921","Finland","Philippines"
"1922","Finland","Poland"
"1923","Finland","Portugal"
"1924","Finland","Qatar"
"1925","Finland","Republic of Korea"
"1926","Finland","Romania"
"1927","Finland","Sao Tome and Principe"
"1928","Finland","Saudi Arabia"
"1929","Finland","Senegal"
"1930","Finland","Singapore"
"1931","Finland","Somalia"
"1932","Finland","South Africa"
"1933","Finland","Spain"
"1934","Finland","Sri Lanka"
"1935","Finland","Sweden"
"1936","Finland","Switzerland"
"1937","Finland","Syrian Arab Republic"
"1938","Finland","Thailand"
"1939","Finland","Togo"
"1940","Finland","Trinidad and Tobago"
"1941","Finland","Tunisia"
"1942","Finland","United Arab Emirates"
"1943","Finland","United Kingdom"
"1944","Finland","United Republic of Tanzania"
"1945","Finland","United States of America"
"1946","Finland","Uruguay"
"1947","Finland","USSR"
"1948","Finland","Venezuela (Bolivarian Republic of)"
"1949","Finland","Viet Nam"
"1950","Finland","Yugoslav SFR"
"1951","Finland","Zambia"
"1952","France","Afghanistan"
"1953","France","Albania"
"1954","France","Algeria"
"1955","France","Andorra"
"1956","France","Angola"
"1957","France","Antigua and Barbuda"
"1958","France","Argentina"
"1959","France","Australia"
"1960","France","Austria"
"1961","France","Bahamas"
"1962","France","Bahrain"
"1963","France","Bangladesh"
"1964","France","Barbados"
"1965","France","Belgium-Luxembourg"
"1966","France","Belize"
"1967","France","Benin"
"1968","France","Bermuda"
"1969","France","Bolivia (Plurinational State of)"
"1970","France","Botswana"
"1971","France","Brazil"
"1972","France","Brunei Darussalam"
"1973","France","Bulgaria"
"1974","France","Burkina Faso"
"1975","France","Burundi"
"1976","France","Cabo Verde"
"1977","France","Cambodia"
"1978","France","Cameroon"
"1979","France","Canada"
"1980","France","Cayman Islands"
"1981","France","Central African Republic"
"1982","France","Chad"
"1983","France","Chile"
"1984","France","China, Hong Kong SAR"
"1985","France","China, Macao SAR"
"1986","France","China, mainland"
"1987","France","China, Taiwan Province of"
"1988","France","Colombia"
"1989","France","Comoros"
"1990","France","Congo"
"1991","France","Costa Rica"
"1992","France","Côte d'Ivoire"
"1993","France","Cuba"
"1994","France","Cyprus"
"1995","France","Czechoslovakia"
"1996","France","Democratic People's Republic of Korea"
"1997","France","Democratic Republic of the Congo"
"1998","France","Denmark"
"1999","France","Djibouti"
"2000","France","Dominica"
"2001","France","Dominican Republic"
"2002","France","Ecuador"
"2003","France","Egypt"
"2004","France","El Salvador"
"2005","France","Equatorial Guinea"
"2006","France","Eswatini"
"2007","France","Ethiopia PDR"
"2008","France","Faroe Islands"
"2009","France","Fiji"
"2010","France","Finland"
"2011","France","French Guiana"
"2012","France","French Polynesia"
"2013","France","Gabon"
"2014","France","Gambia"
"2015","France","Ghana"
"2016","France","Gibraltar"
"2017","France","Greece"
"2018","France","Greenland"
"2019","France","Grenada"
"2020","France","Guadeloupe"
"2021","France","Guatemala"
"2022","France","Guinea"
"2023","France","Guinea-Bissau"
"2024","France","Guyana"
"2025","France","Haiti"
"2026","France","Holy See"
"2027","France","Honduras"
"2028","France","Hungary"
"2029","France","Iceland"
"2030","France","India"
"2031","France","Indonesia"
"2032","France","Iran (Islamic Republic of)"
"2033","France","Iraq"
"2034","France","Ireland"
"2035","France","Israel"
"2036","France","Italy"
"2037","France","Jamaica"
"2038","France","Japan"
"2039","France","Jordan"
"2040","France","Kenya"
"2041","France","Kiribati"
"2042","France","Kuwait"
"2043","France","Lao People's Democratic Republic"
"2044","France","Lebanon"
"2045","France","Lesotho"
"2046","France","Liberia"
"2047","France","Libya"
"2048","France","Madagascar"
"2049","France","Malawi"
"2050","France","Malaysia"
"2051","France","Maldives"
"2052","France","Mali"
"2053","France","Malta"
"2054","France","Martinique"
"2055","France","Mauritania"
"2056","France","Mauritius"
"2057","France","Mexico"
"2058","France","Mongolia"
"2059","France","Morocco"
"2060","France","Mozambique"
"2061","France","Myanmar"
"2062","France","Nepal"
"2063","France","Netherlands"
"2064","France","Netherlands Antilles (former)"
"2065","France","New Caledonia"
"2066","France","New Zealand"
"2067","France","Nicaragua"
"2068","France","Niger"
"2069","France","Nigeria"
"2070","France","Norway"
"2071","France","Oman"
"2072","France","Pakistan"
"2073","France","Panama"
"2074","France","Papua New Guinea"
"2075","France","Paraguay"
"2076","France","Peru"
"2077","France","Philippines"
"2078","France","Poland"
"2079","France","Portugal"
"2080","France","Qatar"
"2081","France","Republic of Korea"
"2082","France","Réunion"
"2083","France","Romania"
"2084","France","Rwanda"
"2085","France","Saint Lucia"
"2086","France","Saint Pierre and Miquelon"
"2087","France","Saint Vincent and the Grenadines"
"2088","France","Samoa"
"2089","France","Sao Tome and Principe"
"2090","France","Saudi Arabia"
"2091","France","Senegal"
"2092","France","Seychelles"
"2093","France","Sierra Leone"
"2094","France","Singapore"
"2095","France","Solomon Islands"
"2096","France","Somalia"
"2097","France","South Africa"
"2098","France","Spain"
"2099","France","Sri Lanka"
"2100","France","Sudan (former)"
"2101","France","Suriname"
"2102","France","Sweden"
"2103","France","Switzerland"
"2104","France","Syrian Arab Republic"
"2105","France","Thailand"
"2106","France","Togo"
"2107","France","Trinidad and Tobago"
"2108","France","Tunisia"
"2109","France","Turkey"
"2110","France","Turks and Caicos Islands"
"2111","France","Uganda"
"2112","France","United Arab Emirates"
"2113","France","United Kingdom"
"2114","France","United Republic of Tanzania"
"2115","France","United States of America"
"2116","France","United States Virgin Islands"
"2117","France","Unspecified Area"
"2118","France","Uruguay"
"2119","France","USSR"
"2120","France","Vanuatu"
"2121","France","Venezuela (Bolivarian Republic of)"
"2122","France","Viet Nam"
"2123","France","Wallis and Futuna Islands"
"2124","France","Yugoslav SFR"
"2125","France","Zambia"
"2126","France","Zimbabwe"
"2127","French Guiana","Cayman Islands"
"2128","French Guiana","France"
"2129","French Guiana","Guadeloupe"
"2130","French Guiana","Guyana"
"2131","French Guiana","Martinique"
"2132","French Guiana","Suriname"
"2133","Greece","Afghanistan"
"2134","Greece","Albania"
"2135","Greece","Algeria"
"2136","Greece","Angola"
"2137","Greece","Australia"
"2138","Greece","Austria"
"2139","Greece","Bahrain"
"2140","Greece","Bangladesh"
"2141","Greece","Belgium-Luxembourg"
"2142","Greece","Belize"
"2143","Greece","Benin"
"2144","Greece","Brazil"
"2145","Greece","Bulgaria"
"2146","Greece","Burundi"
"2147","Greece","Cameroon"
"2148","Greece","Canada"
"2149","Greece","Chile"
"2150","Greece","China, Hong Kong SAR"
"2151","Greece","China, mainland"
"2152","Greece","China, Taiwan Province of"
"2153","Greece","Congo"
"2154","Greece","Cyprus"
"2155","Greece","Czechoslovakia"
"2156","Greece","Democratic People's Republic of Korea"
"2157","Greece","Democratic Republic of the Congo"
"2158","Greece","Denmark"
"2159","Greece","Djibouti"
"2160","Greece","Dominican Republic"
"2161","Greece","Egypt"
"2162","Greece","Ethiopia PDR"
"2163","Greece","Faroe Islands"
"2164","Greece","Finland"
"2165","Greece","France"
"2166","Greece","Gambia"
"2167","Greece","Guadeloupe"
"2168","Greece","Guinea"
"2169","Greece","Guyana"
"2170","Greece","Haiti"
"2171","Greece","Hungary"
"2172","Greece","Iceland"
"2173","Greece","India"
"2174","Greece","Indonesia"
"2175","Greece","Iraq"
"2176","Greece","Ireland"
"2177","Greece","Israel"
"2178","Greece","Italy"
"2179","Greece","Jamaica"
"2180","Greece","Japan"
"2181","Greece","Jordan"
"2182","Greece","Kenya"
"2183","Greece","Kuwait"
"2184","Greece","Lebanon"
"2185","Greece","Liberia"
"2186","Greece","Libya"
"2187","Greece","Malaysia"
"2188","Greece","Mali"
"2189","Greece","Malta"
"2190","Greece","Mexico"
"2191","Greece","Morocco"
"2192","Greece","Netherlands"
"2193","Greece","New Zealand"
"2194","Greece","Nicaragua"
"2195","Greece","Nigeria"
"2196","Greece","Norway"
"2197","Greece","Oman"
"2198","Greece","Pakistan"
"2199","Greece","Panama"
"2200","Greece","Papua New Guinea"
"2201","Greece","Philippines"
"2202","Greece","Poland"
"2203","Greece","Portugal"
"2204","Greece","Qatar"
"2205","Greece","Republic of Korea"
"2206","Greece","Romania"
"2207","Greece","Rwanda"
"2208","Greece","Saudi Arabia"
"2209","Greece","Senegal"
"2210","Greece","Sierra Leone"
"2211","Greece","Singapore"
"2212","Greece","Somalia"
"2213","Greece","South Africa"
"2214","Greece","Spain"
"2215","Greece","Sudan (former)"
"2216","Greece","Sweden"
"2217","Greece","Switzerland"
"2218","Greece","Syrian Arab Republic"
"2219","Greece","Trinidad and Tobago"
"2220","Greece","Tunisia"
"2221","Greece","Turkey"
"2222","Greece","United Arab Emirates"
"2223","Greece","United Kingdom"
"2224","Greece","United Republic of Tanzania"
"2225","Greece","United States of America"
"2226","Greece","Unspecified Area"
"2227","Greece","Uruguay"
"2228","Greece","USSR"
"2229","Greece","Venezuela (Bolivarian Republic of)"
"2230","Greece","Yugoslav SFR"
"2231","Greece","Zambia"
"2232","Greenland","Denmark"
"2233","Guadeloupe","Antigua and Barbuda"
"2234","Guadeloupe","Austria"
"2235","Guadeloupe","Barbados"
"2236","Guadeloupe","Belgium-Luxembourg"
"2237","Guadeloupe","Canada"
"2238","Guadeloupe","Denmark"
"2239","Guadeloupe","Dominica"
"2240","Guadeloupe","France"
"2241","Guadeloupe","French Guiana"
"2242","Guadeloupe","Guadeloupe"
"2243","Guadeloupe","Haiti"
"2244","Guadeloupe","Jamaica"
"2245","Guadeloupe","Martinique"
"2246","Guadeloupe","Netherlands"
"2247","Guadeloupe","Netherlands Antilles (former)"
"2248","Guadeloupe","Portugal"
"2249","Guadeloupe","Saint Lucia"
"2250","Guadeloupe","Spain"
"2251","Guadeloupe","Suriname"
"2252","Guadeloupe","Switzerland"
"2253","Guadeloupe","United States of America"
"2254","Guadeloupe","Unspecified Area"
"2255","Guatemala","Andorra"
"2256","Guatemala","Argentina"
"2257","Guatemala","Australia"
"2258","Guatemala","Austria"
"2259","Guatemala","Bangladesh"
"2260","Guatemala","Belgium-Luxembourg"
"2261","Guatemala","Belize"
"2262","Guatemala","Bulgaria"
"2263","Guatemala","Canada"
"2264","Guatemala","Cayman Islands"
"2265","Guatemala","China, Hong Kong SAR"
"2266","Guatemala","China, Taiwan Province of"
"2267","Guatemala","Colombia"
"2268","Guatemala","Costa Rica"
"2269","Guatemala","Cyprus"
"2270","Guatemala","Democratic People's Republic of Korea"
"2271","Guatemala","Denmark"
"2272","Guatemala","Dominican Republic"
"2273","Guatemala","Ecuador"
"2274","Guatemala","Egypt"
"2275","Guatemala","El Salvador"
"2276","Guatemala","Finland"
"2277","Guatemala","France"
"2278","Guatemala","Greenland"
"2279","Guatemala","Honduras"
"2280","Guatemala","India"
"2281","Guatemala","Indonesia"
"2282","Guatemala","Ireland"
"2283","Guatemala","Israel"
"2284","Guatemala","Italy"
"2285","Guatemala","Jamaica"
"2286","Guatemala","Japan"
"2287","Guatemala","Jordan"
"2288","Guatemala","Kenya"
"2289","Guatemala","Kuwait"
"2290","Guatemala","Lebanon"
"2291","Guatemala","Malta"
"2292","Guatemala","Mexico"
"2293","Guatemala","Morocco"
"2294","Guatemala","Netherlands"
"2295","Guatemala","Netherlands Antilles (former)"
"2296","Guatemala","New Zealand"
"2297","Guatemala","Nicaragua"
"2298","Guatemala","Norway"
"2299","Guatemala","Pakistan"
"2300","Guatemala","Panama"
"2301","Guatemala","Philippines"
"2302","Guatemala","Poland"
"2303","Guatemala","Portugal"
"2304","Guatemala","Puerto Rico"
"2305","Guatemala","Qatar"
"2306","Guatemala","Republic of Korea"
"2307","Guatemala","Saint Pierre and Miquelon"
"2308","Guatemala","Saudi Arabia"
"2309","Guatemala","Singapore"
"2310","Guatemala","South Africa"
"2311","Guatemala","Spain"
"2312","Guatemala","Suriname"
"2313","Guatemala","Sweden"
"2314","Guatemala","Switzerland"
"2315","Guatemala","Syrian Arab Republic"
"2316","Guatemala","Thailand"
"2317","Guatemala","Trinidad and Tobago"
"2318","Guatemala","Turkey"
"2319","Guatemala","United Kingdom"
"2320","Guatemala","United States of America"
"2321","Guatemala","Unspecified Area"
"2322","Guatemala","USSR"
"2323","Guatemala","Venezuela (Bolivarian Republic of)"
"2324","Honduras","Australia"
"2325","Honduras","Belgium-Luxembourg"
"2326","Honduras","Belize"
"2327","Honduras","Brazil"
"2328","Honduras","Bulgaria"
"2329","Honduras","Canada"
"2330","Honduras","China, Hong Kong SAR"
"2331","Honduras","China, Taiwan Province of"
"2332","Honduras","Colombia"
"2333","Honduras","Costa Rica"
"2334","Honduras","Czechoslovakia"
"2335","Honduras","Denmark"
"2336","Honduras","Dominican Republic"
"2337","Honduras","El Salvador"
"2338","Honduras","Finland"
"2339","Honduras","France"
"2340","Honduras","Guatemala"
"2341","Honduras","Guinea"
"2342","Honduras","Hungary"
"2343","Honduras","Israel"
"2344","Honduras","Italy"
"2345","Honduras","Jamaica"
"2346","Honduras","Japan"
"2347","Honduras","Jordan"
"2348","Honduras","Mexico"
"2349","Honduras","Netherlands"
"2350","Honduras","Nicaragua"
"2351","Honduras","Norway"
"2352","Honduras","Panama"
"2353","Honduras","Portugal"
"2354","Honduras","Republic of Korea"
"2355","Honduras","Saudi Arabia"
"2356","Honduras","Spain"
"2357","Honduras","Sweden"
"2358","Honduras","Switzerland"
"2359","Honduras","United Kingdom"
"2360","Honduras","United States of America"
"2361","Honduras","USSR"
"2362","Honduras","Venezuela (Bolivarian Republic of)"
"2363","Honduras","Yugoslav SFR"
"2364","Hungary","Afghanistan"
"2365","Hungary","Albania"
"2366","Hungary","Algeria"
"2367","Hungary","Angola"
"2368","Hungary","Argentina"
"2369","Hungary","Australia"
"2370","Hungary","Austria"
"2371","Hungary","Belgium-Luxembourg"
"2372","Hungary","Bolivia (Plurinational State of)"
"2373","Hungary","Brazil"
"2374","Hungary","Bulgaria"
"2375","Hungary","Canada"
"2376","Hungary","Central African Republic"
"2377","Hungary","China, Hong Kong SAR"
"2378","Hungary","Côte d'Ivoire"
"2379","Hungary","Cuba"
"2380","Hungary","Cyprus"
"2381","Hungary","Czechoslovakia"
"2382","Hungary","Democratic People's Republic of Korea"
"2383","Hungary","Denmark"
"2384","Hungary","Egypt"
"2385","Hungary","Ethiopia PDR"
"2386","Hungary","Finland"
"2387","Hungary","France"
"2388","Hungary","Greece"
"2389","Hungary","Iceland"
"2390","Hungary","India"
"2391","Hungary","Iraq"
"2392","Hungary","Ireland"
"2393","Hungary","Israel"
"2394","Hungary","Italy"
"2395","Hungary","Japan"
"2396","Hungary","Jordan"
"2397","Hungary","Kuwait"
"2398","Hungary","Lebanon"
"2399","Hungary","Liberia"
"2400","Hungary","Libya"
"2401","Hungary","Liechtenstein"
"2402","Hungary","Malaysia"
"2403","Hungary","Malta"
"2404","Hungary","Mongolia"
"2405","Hungary","Morocco"
"2406","Hungary","Netherlands"
"2407","Hungary","New Zealand"
"2408","Hungary","Norway"
"2409","Hungary","Pakistan"
"2410","Hungary","Poland"
"2411","Hungary","Portugal"
