"","Reporter.Countries","Partner.Countries"
"183","Australia","France"
"184","Australia","French Guiana"
"185","Australia","French Polynesia"
"186","Australia","Gambia"
"187","Australia","Gibraltar"
"188","Australia","Greece"
"189","Australia","Grenada"
"190","Australia","Guam"
"191","Australia","Guinea"
"192","Australia","Guyana"
"193","Australia","Haiti"
"194","Australia","Honduras"
"195","Australia","Hungary"
"196","Australia","Iceland"
"197","Australia","India"
"198","Australia","Indonesia"
"199","Australia","Iran (Islamic Republic of)"
"200","Australia","Iraq"
"201","Australia","Ireland"
"202","Australia","Israel"
"203","Australia","Italy"
"204","Australia","Jamaica"
"205","Australia","Japan"
"206","Australia","Jordan"
"207","Australia","Kenya"
"208","Australia","Kiribati"
"209","Australia","Kuwait"
"210","Australia","Lao People's Democratic Republic"
"211","Australia","Lebanon"
"212","Australia","Lesotho"
"213","Australia","Liberia"
"214","Australia","Libya"
"215","Australia","Malawi"
"216","Australia","Malaysia"
"217","Australia","Maldives"
"218","Australia","Mali"
"219","Australia","Malta"
"220","Australia","Mauritania"
"221","Australia","Mauritius"
"222","Australia","Mexico"
"223","Australia","Montserrat"
"224","Australia","Morocco"
"225","Australia","Mozambique"
"226","Australia","Myanmar"
"227","Australia","Nauru"
"228","Australia","Nepal"
"229","Australia","Netherlands"
"230","Australia","Netherlands Antilles (former)"
"231","Australia","New Caledonia"
"232","Australia","New Zealand"
"233","Australia","Niger"
"234","Australia","Nigeria"
"235","Australia","Norfolk Island"
"236","Australia","Norway"
"237","Australia","Oman"
"238","Australia","Pacific Islands Trust Territory"
"239","Australia","Pakistan"
"240","Australia","Panama"
"241","Australia","Papua New Guinea"
"242","Australia","Paraguay"
"243","Australia","Peru"
"244","Australia","Philippines"
"245","Australia","Poland"
"246","Australia","Portugal"
"247","Australia","Qatar"
"248","Australia","Republic of Korea"
"249","Australia","Réunion"
"250","Australia","Romania"
"251","Australia","Rwanda"
"252","Australia","Saint Lucia"
"253","Australia","Saint Vincent and the Grenadines"
"254","Australia","Samoa"
"255","Australia","Saudi Arabia"
"256","Australia","Senegal"
"257","Australia","Seychelles"
"258","Australia","Sierra Leone"
"259","Australia","Singapore"
"260","Australia","Solomon Islands"
"261","Australia","Somalia"
"262","Australia","South Africa"
"263","Australia","Spain"
"264","Australia","Sri Lanka"
"265","Australia","Sudan (former)"
"266","Australia","Sweden"
"267","Australia","Switzerland"
"268","Australia","Syrian Arab Republic"
"269","Australia","Thailand"
"270","Australia","Togo"
"271","Australia","Tonga"
"272","Australia","Trinidad and Tobago"
"273","Australia","Tunisia"
"274","Australia","Turkey"
"275","Australia","Turks and Caicos Islands"
"276","Australia","Tuvalu"
"277","Australia","United Arab Emirates"
"278","Australia","United Kingdom"
"279","Australia","United Republic of Tanzania"
"280","Australia","United States of America"
"281","Australia","Unspecified Area"
"282","Australia","Uruguay"
"283","Australia","USSR"
"284","Australia","Vanuatu"
"285","Australia","Venezuela (Bolivarian Republic of)"
"286","Australia","Viet Nam"
"287","Australia","Wallis and Futuna Islands"
"288","Australia","Yugoslav SFR"
"289","Australia","Zambia"
"290","Australia","Zimbabwe"
"291","Austria","Afghanistan"
"292","Austria","Albania"
"293","Austria","Algeria"
"294","Austria","Angola"
"295","Austria","Argentina"
"296","Austria","Australia"
"297","Austria","Bahrain"
"298","Austria","Bangladesh"
"299","Austria","Belgium-Luxembourg"
"300","Austria","Benin"
"301","Austria","Bermuda"
"302","Austria","Brazil"
"303","Austria","Bulgaria"
"304","Austria","Cabo Verde"
"305","Austria","Cameroon"
"306","Austria","Canada"
"307","Austria","Chile"
"308","Austria","China, Hong Kong SAR"
"309","Austria","China, mainland"
"310","Austria","China, Taiwan Province of"
"311","Austria","Colombia"
"312","Austria","Congo"
"313","Austria","Côte d'Ivoire"
"314","Austria","Cuba"
"315","Austria","Cyprus"
"316","Austria","Czechoslovakia"
"317","Austria","Denmark"
"318","Austria","Djibouti"
"319","Austria","Ecuador"
"320","Austria","Egypt"
"321","Austria","El Salvador"
"322","Austria","Ethiopia PDR"
"323","Austria","Finland"
"324","Austria","France"
"325","Austria","Gambia"
"326","Austria","Ghana"
"327","Austria","Gibraltar"
"328","Austria","Greece"
"329","Austria","Guinea"
"330","Austria","Honduras"
"331","Austria","Hungary"
"332","Austria","Iceland"
"333","Austria","India"
"334","Austria","Indonesia"
