reporter,partner,weight,region
Algeria,Belgium-Luxembourg,2125000.0,Africa
Algeria,Cameroon,14000.0,Africa
Algeria,Canada,369000.0,Africa
Algeria,Denmark,136000.0,Africa
Algeria,Finland,30000.0,Africa
Algeria,France,10323000.0,Africa
Algeria,Indonesia,252000.0,Africa
Algeria,Italy,624000.0,Africa
Algeria,Kuwait,13000.0,Africa
Algeria,Netherlands,200000.0,Africa
Algeria,Norway,90000.0,Africa
Algeria,Singapore,27000.0,Africa
Algeria,Spain,220000.0,Africa
Algeria,Sweden,64000.0,Africa
Algeria,Switzerland,49000.0,Africa
Algeria,Syrian Arab Republic,18000.0,Africa
Algeria,United States of America,22000.0,Africa
Algeria,Yugoslav SFR,2007000.0,Africa
Argentina,Algeria,79725000.0,Americas
Argentina,Australia,6520000.0,Americas
Argentina,Austria,345000.0,Americas
Argentina,Bahamas,598000.0,Americas
Argentina,Bangladesh,5513000.0,Americas
Argentina,Barbados,928000.0,Americas
Argentina,Belgium-Luxembourg,112484000.0,Americas
Argentina,Belize,42000.0,Americas
Argentina,Brazil,364884000.0,Americas
Argentina,Bulgaria,10289000.0,Americas
Argentina,Cabo Verde,333000.0,Americas
Argentina,Cameroon,51000.0,Americas
Argentina,Canada,1846000.0,Americas
Argentina,Chile,13543000.0,Americas
Argentina,"China, Hong Kong SAR",2998000.0,Americas
Argentina,"China, Taiwan Province of",13849000.0,Americas
Argentina,Colombia,38192000.0,Americas
Argentina,Costa Rica,78000.0,Americas
Argentina,Cuba,132401000.0,Americas
Argentina,Cyprus,7919000.0,Americas
Argentina,Denmark,939000.0,Americas
Argentina,Egypt,82318000.0,Americas
Argentina,Finland,763000.0,Americas
Argentina,France,39281000.0,Americas
Argentina,Greece,13281000.0,Americas
Argentina,Guadeloupe,6000.0,Americas
Argentina,Guatemala,105000.0,Americas
Argentina,Honduras,307000.0,Americas
Argentina,Hungary,1640000.0,Americas
Argentina,India,40000.0,Americas
Argentina,Indonesia,14913000.0,Americas
Argentina,Ireland,1707000.0,Americas
Argentina,Israel,18379000.0,Americas
Argentina,Italy,151361000.0,Americas
Argentina,Japan,120905000.0,Americas
Argentina,Jordan,2120000.0,Americas
Argentina,Kuwait,385000.0,Americas
Argentina,Malaysia,23825000.0,Americas
Argentina,Mexico,133033000.0,Americas
Argentina,Morocco,4983000.0,Americas
Argentina,Netherlands,281153000.0,Americas
Argentina,Netherlands Antilles (former),2256000.0,Americas
Argentina,New Zealand,2167000.0,Americas
Argentina,Nigeria,6158000.0,Americas
Argentina,Norway,26886000.0,Americas
Argentina,Oman,31000.0,Americas
Argentina,Panama,5124000.0,Americas
Argentina,Paraguay,5867000.0,Americas
Argentina,Peru,103502000.0,Americas
Argentina,Philippines,74000.0,Americas
Argentina,Poland,2572000.0,Americas
Argentina,Portugal,83178000.0,Americas
Argentina,Republic of Korea,35957000.0,Americas
Argentina,Singapore,3855000.0,Americas
Argentina,Spain,43168000.0,Americas
Argentina,Sri Lanka,2000.0,Americas
Argentina,Sweden,1309000.0,Americas
Argentina,Switzerland,3253000.0,Americas
