reporter,totalexportvalue
Afghanistan,429014000.0
Albania,135604000.0
Algeria,298058000.0
Antigua and Barbuda,933000.0
Argentina,31516708000.0
Armenia,271177000.0
Aruba,38421000.0
Australia,26048169000.0
Austria,11620294000.0
Azerbaijan,395253000.0
Bahamas,10559000.0
Bahrain,301887000.0
Bangladesh,391432000.0
Barbados,89599000.0
Belarus,3770680000.0
Belgium,39550714000.0
Belize,140352000.0
Benin,259183000.0
Bermuda,5443000.0
Bhutan,4022000.0
Bolivia (Plurinational State of),1402666000.0
Bosnia and Herzegovina,530848000.0
Botswana,128858000.0
Brazil,67298980000.0
Brunei Darussalam,1362000.0
Bulgaria,4193033000.0
Burkina Faso,721088000.0
Burundi,55916000.0
Cabo Verde,844000.0
Cambodia,470447000.0
Cameroon,1042808000.0
Canada,41846102000.0
Central African Republic,36596000.0
Chile,10757095000.0
"China, Hong Kong SAR",8061217000.0
"China, Macao SAR",27740000.0
"China, mainland",43490075000.0
"China, Taiwan Province of",2317146000.0
Colombia,6464647000.0
Comoros,54190000.0
Congo,33438000.0
Cook Islands,540000.0
Costa Rica,4314955000.0
Côte d'Ivoire,6845242000.0
Croatia,1853471000.0
Cuba,661376000.0
Cyprus,323585000.0
Czechia,7940760000.0
Democratic Republic of the Congo,64059000.0
Denmark,14189306000.0
Djibouti,20509000.0
Dominica,6368000.0
Ecuador,5398874000.0
Egypt,2957214000.0
El Salvador,858079000.0
Estonia,970547000.0
Eswatini,395712000.0
Ethiopia,1069449000.0
Faroe Islands,38252000.0
Fiji,236532000.0
Finland,1469639000.0
France,59656380000.0
French Polynesia,20563000.0
Gabon,21504000.0
Gambia,10326000.0
Georgia,596304000.0
Germany,72569742000.0
Ghana,2653757000.0
Greece,5872219000.0
Greenland,11000.0
Grenada,14034000.0
Guatemala,4615325000.0
Guinea,157938000.0
Guyana,312580000.0
Honduras,1986214000.0
Hungary,8003882000.0
Iceland,121294000.0
India,20085949000.0
Indonesia,30042036000.0
Iran (Islamic Republic of),1637401000.0
Ireland,12049316000.0
Israel,1873899000.0
Italy,40463025000.0
Jamaica,266371000.0
Japan,3769255000.0
Jordan,1057694000.0
Kazakhstan,1447728000.0
Kenya,2265297000.0
Kiribati,4276000.0
Kuwait,338779000.0
Kyrgyzstan,155214000.0
Latvia,2066569000.0
Lebanon,628580000.0
Libya,12723000.0
Lithuania,4007322000.0
Luxembourg,1218427000.0
Madagascar,735673000.0
Malawi,608374000.0
Malaysia,19076899000.0
Maldives,14000.0
Mali,510502000.0
Malta,105916000.0
Mauritania,474000.0
Mauritius,393877000.0
Mexico,27311050000.0
Mongolia,322684000.0
Montenegro,47338000.0
Montserrat,15000.0
Morocco,2665066000.0
Namibia,286721000.0
Nepal,171174000.0
Netherlands,76597569000.0
New Caledonia,8407000.0
New Zealand,18543093000.0
Nicaragua,1431121000.0
Niger,343861000.0
Nigeria,1196731000.0
Norway,888157000.0
Oman,1020483000.0
Pakistan,3306386000.0
Panama,389780000.0
Papua New Guinea,828727000.0
Paraguay,5217138000.0
Peru,4801948000.0
Philippines,4131447000.0
Poland,23685509000.0
Portugal,5335990000.0
Qatar,60811000.0
Republic of Korea,5379218000.0
Republic of Moldova,846995000.0
Romania,6273595000.0
Russian Federation,12869337000.0
Rwanda,96467000.0
Saint Kitts and Nevis,2081000.0
Saint Lucia,32165000.0
Saint Vincent and the Grenadines,17697000.0
Sao Tome and Principe,747000.0
Saudi Arabia,2359087000.0
Senegal,479721000.0
Serbia,3104723000.0
Seychelles,13332000.0
Sierra Leone,51306000.0
Singapore,8068408000.0
Slovakia,3019016000.0
Slovenia,1794550000.0
Solomon Islands,53265000.0
South Africa,6867816000.0
Spain,44058760000.0
Sri Lanka,2331424000.0
Suriname,83353000.0
Sweden,5055641000.0
Switzerland,8857183000.0
Syrian Arab Republic,338745000.0
Thailand,24482874000.0
The former Yugoslav Republic of Macedonia,573888000.0
Togo,185080000.0
Tonga,6356000.0
Trinidad and Tobago,237872000.0
Tunisia,1145806000.0
Turkey,11501163000.0
Uganda,583228000.0
Ukraine,11372190000.0
United Arab Emirates,4966742000.0
United Kingdom,25630656000.0
United Republic of Tanzania,1423107000.0
United States of America,130010422000.0
Uruguay,3670384000.0
Vanuatu,29843000.0
Venezuela (Bolivarian Republic of),86300000.0
Yemen,42222000.0
Zambia,392612000.0
Zimbabwe,945384000.0
