reporter,partner,weight,region
Albania,Australia,26000.0,Europe
Albania,Austria,311000.0,Europe
Albania,Brazil,266000.0,Europe
Albania,Croatia,53000.0,Europe
Albania,Cyprus,12000.0,Europe
Albania,France,1323000.0,Europe
Albania,Germany,6252000.0,Europe
Albania,Greece,9227000.0,Europe
Albania,Hungary,221000.0,Europe
Albania,Italy,8098000.0,Europe
Albania,Japan,589000.0,Europe
Albania,Poland,56000.0,Europe
Albania,Republic of Moldova,8000.0,Europe
Albania,Romania,42000.0,Europe
Albania,Slovenia,688000.0,Europe
Albania,Spain,520000.0,Europe
Albania,Switzerland,138000.0,Europe
Albania,Turkey,1412000.0,Europe
Albania,United States of America,1491000.0,Europe
Algeria,Belgium-Luxembourg,1522000.0,Africa
Algeria,Canada,305000.0,Africa
Algeria,Denmark,44000.0,Africa
Algeria,France,30817000.0,Africa
Algeria,Germany,1004000.0,Africa
Algeria,Guinea,253000.0,Africa
Algeria,Italy,578000.0,Africa
Algeria,Jordan,1648000.0,Africa
Algeria,Kuwait,15000.0,Africa
Algeria,Morocco,8327000.0,Africa
Algeria,Netherlands,279000.0,Africa
Algeria,Spain,972000.0,Africa
Algeria,Sweden,120000.0,Africa
Algeria,Switzerland,552000.0,Africa
Algeria,Tunisia,2545000.0,Africa
Algeria,Turkey,206000.0,Africa
Algeria,United Kingdom,335000.0,Africa
Argentina,Albania,12000.0,Americas
Argentina,Algeria,57835000.0,Americas
Argentina,Australia,22313000.0,Americas
Argentina,Austria,745000.0,Americas
Argentina,Barbados,389000.0,Americas
Argentina,Belgium-Luxembourg,196556000.0,Americas
Argentina,Benin,91000.0,Americas
Argentina,Bolivia (Plurinational State of),94643000.0,Americas
Argentina,Botswana,1752000.0,Americas
Argentina,Brazil,1740634000.0,Americas
Argentina,Canada,42471000.0,Americas
Argentina,Chile,331999000.0,Americas
Argentina,"China, Hong Kong SAR",34179000.0,Americas
Argentina,"China, mainland",333992000.0,Americas
Argentina,"China, Taiwan Province of",46127000.0,Americas
Argentina,Colombia,86581000.0,Americas
Argentina,Costa Rica,6243000.0,Americas
Argentina,Croatia,65000.0,Americas
Argentina,Cyprus,14600000.0,Americas
Argentina,Czechia,392000.0,Americas
Argentina,Denmark,132149000.0,Americas
Argentina,Ecuador,28358000.0,Americas
Argentina,Egypt,221703000.0,Americas
Argentina,El Salvador,14005000.0,Americas
Argentina,Finland,2739000.0,Americas
Argentina,France,153530000.0,Americas
Argentina,Germany,349263000.0,Americas
Argentina,Greece,63466000.0,Americas
Argentina,Guatemala,20890000.0,Americas
Argentina,Guinea,234000.0,Americas
Argentina,Honduras,95000.0,Americas
Argentina,Hungary,1810000.0,Americas
Argentina,India,106822000.0,Americas
Argentina,Indonesia,151935000.0,Americas
Argentina,Ireland,31038000.0,Americas
Argentina,Italy,344939000.0,Americas
Argentina,Japan,134472000.0,Americas
Argentina,Jordan,7779000.0,Americas
Argentina,Kenya,3979000.0,Americas
Argentina,Kuwait,3666000.0,Americas
Argentina,Lithuania,2832000.0,Americas
Argentina,Madagascar,1036000.0,Americas
Argentina,Malaysia,195680000.0,Americas
Argentina,Mauritius,8176000.0,Americas
Argentina,Morocco,79814000.0,Americas
Argentina,Netherlands,881279000.0,Americas
Argentina,New Zealand,3811000.0,Americas
Argentina,Nicaragua,1971000.0,Americas
Argentina,Norway,14181000.0,Americas
Argentina,Oman,6061000.0,Americas
Argentina,Pakistan,45702000.0,Americas
Argentina,Panama,8533000.0,Americas
Argentina,Paraguay,162605000.0,Americas
Argentina,Peru,141737000.0,Americas
Argentina,Philippines,42050000.0,Americas
Argentina,Poland,32077000.0,Americas
Argentina,Portugal,44827000.0,Americas
Argentina,Republic of Korea,109717000.0,Americas
Argentina,Romania,58754000.0,Americas
Argentina,Rwanda,2171000.0,Americas
Argentina,Singapore,14034000.0,Americas
Argentina,Slovenia,15786000.0,Americas
Argentina,South Africa,158541000.0,Americas
Argentina,Spain,348567000.0,Americas
Argentina,Sri Lanka,6932000.0,Americas
Argentina,Sweden,9985000.0,Americas
Argentina,Switzerland,8953000.0,Americas
Argentina,Thailand,99437000.0,Americas
Argentina,Togo,47000.0,Americas
Argentina,Trinidad and Tobago,2375000.0,Americas
Argentina,Tunisia,49929000.0,Americas
Argentina,Turkey,65323000.0,Americas
Argentina,United Kingdom,241935000.0,Americas
Argentina,United States of America,504734000.0,Americas
Argentina,Uruguay,106732000.0,Americas
Argentina,Venezuela (Bolivarian Republic of),213540000.0,Americas
Argentina,Zimbabwe,6650000.0,Americas
Australia,Algeria,3676000.0,Oceania
Australia,Argentina,8010000.0,Oceania
Australia,Austria,3489000.0,Oceania
Australia,Barbados,1309000.0,Oceania
Australia,Belgium-Luxembourg,65506000.0,Oceania
Australia,Belize,8000.0,Oceania
Australia,Botswana,5000.0,Oceania
Australia,Brazil,53344000.0,Oceania
Australia,Burkina Faso,9000.0,Oceania
Australia,Canada,120512000.0,Oceania
Australia,Chile,1902000.0,Oceania
Australia,"China, Hong Kong SAR",387859000.0,Oceania
Australia,"China, Macao SAR",4657000.0,Oceania
Australia,"China, mainland",680644000.0,Oceania
Australia,"China, Taiwan Province of",447231000.0,Oceania
Australia,Colombia,497000.0,Oceania
Australia,Comoros,265000.0,Oceania
Australia,Costa Rica,93000.0,Oceania
Australia,Croatia,654000.0,Oceania
Australia,Cyprus,689000.0,Oceania
Australia,Czechia,17249000.0,Oceania
Australia,Denmark,10572000.0,Oceania
Australia,Ecuador,123000.0,Oceania
Australia,Egypt,65409000.0,Oceania
Australia,Finland,5033000.0,Oceania
Australia,France,172341000.0,Oceania
Australia,Germany,217405000.0,Oceania
Australia,Greece,7792000.0,Oceania
Australia,Guatemala,146000.0,Oceania
Australia,Hungary,2030000.0,Oceania
Australia,Iceland,1841000.0,Oceania
Australia,India,135612000.0,Oceania
Australia,Indonesia,592837000.0,Oceania
Australia,Ireland,18122000.0,Oceania
Australia,Italy,431286000.0,Oceania
Australia,Japan,2306615000.0,Oceania
Australia,Jordan,42049000.0,Oceania
Australia,Kenya,4356000.0,Oceania
Australia,Kuwait,48883000.0,Oceania
Australia,Lithuania,4345000.0,Oceania
Australia,Madagascar,1386000.0,Oceania
Australia,Malaysia,393049000.0,Oceania
Australia,Mauritius,44990000.0,Oceania
Australia,Morocco,2352000.0,Oceania
Australia,Netherlands,92422000.0,Oceania
Australia,New Zealand,370357000.0,Oceania
Australia,Nicaragua,217000.0,Oceania
Australia,Norway,9181000.0,Oceania
Australia,Oman,25490000.0,Oceania
Australia,Pakistan,32837000.0,Oceania
Australia,Panama,175000.0,Oceania
Australia,Papua New Guinea,106301000.0,Oceania
Australia,Paraguay,16000.0,Oceania
Australia,Peru,5507000.0,Oceania
Australia,Philippines,377064000.0,Oceania
Australia,Poland,22327000.0,Oceania
