reporter,partner,weight,region
Afghanistan,Algeria,24000.0,Asia
Afghanistan,Australia,75000.0,Asia
Afghanistan,Austria,46000.0,Asia
Afghanistan,Bahrain,193000.0,Asia
Afghanistan,Barbados,7000.0,Asia
Afghanistan,Belarus,9721000.0,Asia
Afghanistan,Belgium,71000.0,Asia
Afghanistan,Bulgaria,1000.0,Asia
Afghanistan,Canada,1624000.0,Asia
Afghanistan,"China, Hong Kong SAR",45000.0,Asia
Afghanistan,"China, mainland",490000.0,Asia
Afghanistan,Czechia,50000.0,Asia
Afghanistan,Denmark,24000.0,Asia
Afghanistan,France,87000.0,Asia
Afghanistan,Germany,2781000.0,Asia
Afghanistan,India,184567000.0,Asia
Afghanistan,Indonesia,27000.0,Asia
Afghanistan,Italy,79000.0,Asia
Afghanistan,Japan,181000.0,Asia
Afghanistan,Jordan,13000.0,Asia
Afghanistan,Kazakhstan,2212000.0,Asia
Afghanistan,Kuwait,78000.0,Asia
Afghanistan,Kyrgyzstan,35000.0,Asia
Afghanistan,Lebanon,4000.0,Asia
Afghanistan,Malaysia,127000.0,Asia
Afghanistan,Mongolia,2000.0,Asia
Afghanistan,Netherlands,81000.0,Asia
Afghanistan,New Zealand,7000.0,Asia
Afghanistan,Norway,4000.0,Asia
Afghanistan,Pakistan,205634000.0,Asia
Afghanistan,Poland,14000.0,Asia
Afghanistan,Romania,138000.0,Asia
Afghanistan,Russian Federation,5571000.0,Asia
Afghanistan,Senegal,317000.0,Asia
Afghanistan,Seychelles,5000.0,Asia
Afghanistan,Singapore,3000.0,Asia
Afghanistan,Sri Lanka,1000.0,Asia
Afghanistan,Sweden,46000.0,Asia
Afghanistan,Switzerland,41000.0,Asia
Afghanistan,Thailand,21000.0,Asia
Afghanistan,Tunisia,81000.0,Asia
Afghanistan,Turkey,6945000.0,Asia
Afghanistan,United Arab Emirates,5380000.0,Asia
Afghanistan,United Kingdom,177000.0,Asia
Afghanistan,United States of America,1984000.0,Asia
Albania,Austria,944000.0,Europe
Albania,Belgium,70000.0,Europe
Albania,Bosnia and Herzegovina,5380000.0,Europe
Albania,Bulgaria,6070000.0,Europe
Albania,Canada,155000.0,Europe
Albania,"China, Macao SAR",17000.0,Europe
Albania,"China, mainland",138000.0,Europe
Albania,Croatia,1395000.0,Europe
Albania,Czechia,955000.0,Europe
Albania,Denmark,299000.0,Europe
Albania,Egypt,1061000.0,Europe
Albania,Estonia,55000.0,Europe
Albania,France,3950000.0,Europe
Albania,Germany,8506000.0,Europe
Albania,Greece,16297000.0,Europe
Albania,Hungary,635000.0,Europe
Albania,Italy,21406000.0,Europe
Albania,Latvia,211000.0,Europe
Albania,Lebanon,40000.0,Europe
Albania,Libya,695000.0,Europe
Albania,Lithuania,358000.0,Europe
Albania,Montenegro,5966000.0,Europe
Albania,Netherlands,354000.0,Europe
Albania,Norway,44000.0,Europe
Albania,Poland,1972000.0,Europe
Albania,Republic of Moldova,24000.0,Europe
Albania,Romania,6266000.0,Europe
Albania,Saudi Arabia,47000.0,Europe
Albania,Serbia,31409000.0,Europe
Albania,Slovakia,1367000.0,Europe
Albania,Slovenia,441000.0,Europe
Albania,Spain,572000.0,Europe
Albania,Sri Lanka,69000.0,Europe
Albania,Sweden,140000.0,Europe
Albania,Switzerland,409000.0,Europe
Albania,The former Yugoslav Republic of Macedonia,6171000.0,Europe
Albania,Turkey,2659000.0,Europe
Albania,United Kingdom,335000.0,Europe
Albania,United States of America,8722000.0,Europe
Algeria,Albania,8052000.0,Africa
Algeria,Antigua and Barbuda,1000.0,Africa
Algeria,Australia,9000.0,Africa
Algeria,Azerbaijan,147000.0,Africa
Algeria,Bahrain,34000.0,Africa
Algeria,Bangladesh,796000.0,Africa
Algeria,Belgium,2077000.0,Africa
Algeria,Benin,1281000.0,Africa
Algeria,Bulgaria,922000.0,Africa
Algeria,Cabo Verde,70000.0,Africa
Algeria,Cameroon,284000.0,Africa
Algeria,Canada,1473000.0,Africa
Algeria,"China, Hong Kong SAR",99000.0,Africa
Algeria,"China, mainland",317000.0,Africa
Algeria,Congo,19000.0,Africa
Algeria,Côte d'Ivoire,716000.0,Africa
Algeria,Croatia,478000.0,Africa
Algeria,Cyprus,852000.0,Africa
Algeria,Czechia,1000.0,Africa
Algeria,Egypt,27126000.0,Africa
Algeria,Estonia,1000.0,Africa
Algeria,France,29421000.0,Africa
Algeria,Gabon,6000.0,Africa
Algeria,Gambia,359000.0,Africa
Algeria,Georgia,668000.0,Africa
Algeria,Germany,4262000.0,Africa
Algeria,Ghana,1818000.0,Africa
Algeria,Greece,4492000.0,Africa
Algeria,Guinea,2212000.0,Africa
Algeria,India,871000.0,Africa
Algeria,Indonesia,69000.0,Africa
Algeria,Italy,18536000.0,Africa
Algeria,Japan,7000.0,Africa
Algeria,Jordan,15395000.0,Africa
Algeria,Kenya,1202000.0,Africa
Algeria,Kuwait,180000.0,Africa
Algeria,Lebanon,12697000.0,Africa
Algeria,Libya,28939000.0,Africa
Algeria,Malaysia,210000.0,Africa
Algeria,Maldives,1000.0,Africa
Algeria,Mali,141000.0,Africa
Algeria,Malta,74000.0,Africa
Algeria,Mauritania,37911000.0,Africa
Algeria,Mauritius,19000.0,Africa
Algeria,Morocco,2262000.0,Africa
Algeria,Netherlands,5218000.0,Africa
Algeria,New Zealand,34000.0,Africa
Algeria,Niger,39000.0,Africa
Algeria,Nigeria,99000.0,Africa
Algeria,Norway,8000.0,Africa
Algeria,Oman,2000.0,Africa
Algeria,Portugal,133000.0,Africa
Algeria,Qatar,1711000.0,Africa
Algeria,Republic of Korea,12000.0,Africa
Algeria,Russian Federation,5623000.0,Africa
Algeria,Saudi Arabia,5647000.0,Africa
Algeria,Senegal,703000.0,Africa
Algeria,Seychelles,5000.0,Africa
Algeria,Sierra Leone,582000.0,Africa
Algeria,South Africa,3000.0,Africa
Algeria,Spain,12342000.0,Africa
Algeria,Sri Lanka,8000.0,Africa
Algeria,Sweden,59000.0,Africa
Algeria,Switzerland,75000.0,Africa
Algeria,Syrian Arab Republic,5464000.0,Africa
Algeria,Thailand,47000.0,Africa
Algeria,Togo,1134000.0,Africa
Algeria,Tunisia,5379000.0,Africa
Algeria,Turkey,26931000.0,Africa
Algeria,Ukraine,100000.0,Africa
Algeria,United Arab Emirates,10540000.0,Africa
Algeria,United Kingdom,2489000.0,Africa
Algeria,United Republic of Tanzania,6292000.0,Africa
Algeria,United States of America,872000.0,Africa
Antigua and Barbuda,Australia,10000.0,Americas
Antigua and Barbuda,Barbados,191000.0,Americas
Antigua and Barbuda,Canada,91000.0,Americas
Antigua and Barbuda,Dominica,6000.0,Americas
Antigua and Barbuda,France,11000.0,Americas
Antigua and Barbuda,Germany,83000.0,Americas
Antigua and Barbuda,Guyana,3000.0,Americas
Antigua and Barbuda,Jamaica,1000.0,Americas
Antigua and Barbuda,Montserrat,89000.0,Americas
Antigua and Barbuda,Netherlands,85000.0,Americas
Antigua and Barbuda,Saint Kitts and Nevis,74000.0,Americas
Antigua and Barbuda,Saint Lucia,63000.0,Americas
Antigua and Barbuda,Saint Vincent and the Grenadines,2000.0,Americas
Antigua and Barbuda,Trinidad and Tobago,111000.0,Americas
Antigua and Barbuda,United Kingdom,17000.0,Americas
Antigua and Barbuda,United States of America,96000.0,Americas
Argentina,Afghanistan,1647000.0,Americas
Argentina,Albania,4792000.0,Americas
Argentina,Algeria,1145110000.0,Americas
Argentina,Antigua and Barbuda,270000.0,Americas
Argentina,Armenia,8010000.0,Americas
Argentina,Aruba,1501000.0,Americas
Argentina,Australia,316854000.0,Americas
Argentina,Austria,3643000.0,Americas
Argentina,Azerbaijan,220000.0,Americas
Argentina,Bahamas,1119000.0,Americas
Argentina,Bahrain,3551000.0,Americas
Argentina,Bangladesh,484268000.0,Americas
Argentina,Barbados,648000.0,Americas
Argentina,Belarus,17366000.0,Americas
Argentina,Belgium,170297000.0,Americas
Argentina,Belize,64000.0,Americas
Argentina,Benin,547000.0,Americas
Argentina,Bolivia (Plurinational State of),227988000.0,Americas
Argentina,Bosnia and Herzegovina,1663000.0,Americas
Argentina,Brazil,2982387000.0,Americas
Argentina,Brunei Darussalam,6975000.0,Americas
Argentina,Bulgaria,4847000.0,Americas
Argentina,Burkina Faso,930000.0,Americas
Argentina,Burundi,356000.0,Americas
Argentina,Cabo Verde,1909000.0,Americas
Argentina,Cambodia,353000.0,Americas
Argentina,Cameroon,15599000.0,Americas
Argentina,Canada,136080000.0,Americas
Argentina,Central African Republic,695000.0,Americas
Argentina,Chile,1162981000.0,Americas
Argentina,"China, Hong Kong SAR",127255000.0,Americas
Argentina,"China, Macao SAR",8000.0,Americas
Argentina,"China, mainland",3445766000.0,Americas
Argentina,"China, Taiwan Province of",34421000.0,Americas
Argentina,Colombia,212029000.0,Americas
Argentina,Comoros,2096000.0,Americas
Argentina,Congo,9691000.0,Americas
Argentina,Costa Rica,24281000.0,Americas
Argentina,Côte d'Ivoire,16135000.0,Americas
Argentina,Croatia,4326000.0,Americas
Argentina,Cuba,309542000.0,Americas
Argentina,Cyprus,28954000.0,Americas
Argentina,Czechia,9055000.0,Americas
Argentina,Democratic Republic of the Congo,10818000.0,Americas
Argentina,Denmark,228864000.0,Americas
Argentina,Djibouti,378000.0,Americas
Argentina,Dominica,159000.0,Americas
Argentina,Ecuador,150767000.0,Americas
Argentina,Egypt,1772388000.0,Americas
Argentina,El Salvador,4445000.0,Americas
Argentina,Estonia,2417000.0,Americas
Argentina,Eswatini,40000.0,Americas
